Model,CSV,n_ch,std_MAE,log_mae,per_ch
V17_7d_50AE_Collection_Category_Opt2_192_Plateau4_M_192_D512_P168,.50 AE.csv,3,0.18518790539734317,0.1851879060268402,"0.1252, 0.1667, 0.2636"
V18_7d_127x55mm_Collection_Category_Deep6_240_C_Best_LRUp_M_240_D512_P168,12.7x55mm.csv,4,0.3070431019460839,0.30704307556152344,"0.1760, 0.3871, 0.2843, 0.3809"
V17_7d_545x39mm_Collection_Category_MidLarge_640_M_240_D640_P168,5.45x39mm.csv,5,0.3100781208321871,0.31007814407348633,"0.2938, 0.1700, 0.3448, 0.7233, 0.0184"
V18_7d_46x30mm_Collection_Category_Opt2_192_Plateau4_E_Best_Patch32_M_192_D512_P168,4.6x30mm.csv,3,0.3251518801741933,0.32515189051628113,"0.4312, 0.5196, 0.0247"
V18_7d_357Magnum_Collection_Category_LongCtx2_384_E_Best_Patch32_M_384_D512_P168,.357 Magnum.csv,4,0.3252150744606031,0.32521507143974304,"0.6380, 0.2422, 0.1212, 0.2995"
V18_7d_762x39mm_Collection_Category_Opt2_192_Plateau4_B_Best_LRDown_M_192_D512_P168,7.62x39mm.csv,5,0.3298308661210078,0.3298308253288269,"0.1971, 0.3975, 0.4567, 0.4280, 0.1699"
V18_7d_300BLK_Collection_Category_Opt2_192_Plateau4_B_Best_LRDown_M_192_D512_P168,.300BLK.csv,3,0.3532584224709252,0.3532584309577942,"0.3952, 0.4654, 0.1991"
V18_7d_Arrow_Collection_Category_Deep6_240_B_Best_LRDown_M_240_D512_P168,箭矢.csv,3,0.364056562071543,0.3640565574169159,"0.5889, 0.2677, 0.2355"
V18_7d_762x51mm_Collection_Category_Deep6_240_B_Best_LRDown_M_240_D512_P168,7.62x51mm.csv,4,0.3735929253089844,0.37359291315078735,"0.5393, 0.1739, 0.2787, 0.5024"
V18_7d_9x19mm_Collection_Category_MidLarge_336_D_Best_LongSeq_M_336_D640_P168,9x19mm.csv,5,0.3958163307533171,0.3958163857460022,"0.5536, 0.5603, 0.2969, 0.1212, 0.4471"
V17_7d_762x54R_Collection_Category_Exp_Long_M_336_A_M_336_D512_P168,7.62x54R.csv,3,0.40654934314196106,0.4065493643283844,"0.5513, 0.3533, 0.3151"
V18_7d_12Gauge_Collection_Category_LongCtx2_480_D_Best_LongSeq_M_480_D512_P168,12 Gauge.csv,8,0.4101635901090781,0.41016361117362976,"0.5275, 0.3970, 0.3564, 0.3464, 0.3796, 0.3019, 0.4463, 0.5263"
V18_7d_9x39mm_Collection_Category_Opt2_192_Plateau4_B_Best_LRDown_M_192_D512_P168,9x39mm.csv,3,0.42146764252264207,0.4214676320552826,"0.2451, 0.5663, 0.4531"
V18_7d_556x45mm_Collection_Category_Exp_Long_M_336_A_B_Best_LRDown_M_336_D512_P168,5.56x45mm.csv,5,0.4301885989908115,0.4301885962486267,"0.0442, 0.6686, 0.4918, 0.4243, 0.5221"
V17_7d_68x51mm_Collection_Category_Deep6_240_M_240_D512_P168,6.8x51mm.csv,2,0.4572644461423649,0.45726442337036133,"0.4440, 0.4706"
V18_7d_58x42mm_Collection_Category_Deep6_240_B_Best_LRDown_M_240_D512_P168,5.8x42mm.csv,4,0.4854509162288532,0.4854509234428406,"0.3578, 0.7209, 0.3541, 0.5090"
V18_7d_45ACP_Collection_Category_Exp_Long_M_336_A_B_Best_LRDown_M_336_D512_P168,.45 ACP.csv,5,0.5074164540688202,0.5074165463447571,"0.4622, 0.7825, 0.7223, 0.0609, 0.5092"
V17_7d_57x28mm_Collection_Category_Deep6_240_M_240_D512_P168,5.7x28mm.csv,6,0.5151300037361776,0.5151299834251404,"0.5662, 0.4800, 0.4648, 0.6323, 0.6217, 0.3257"
V17_7d_4570Govt_Collection_Category_Exp_Long_M_336_A_M_336_D512_P168,45-70 Govt.csv,3,0.5944224007629163,0.594422459602356,"0.6873, 0.3451, 0.7509"
